FileName, KnownNumberArrangement, SecondsElapsed, NumberCount\n
../data-set/20000-numbers-29-ordered-ascending.txt, ascending, 0m0.007s, 20000
../data-set/20000-numbers-29-ordered-descending.txt, descending, 0m0.005s, 20000
../data-set/20000-numbers-29-unordered.txt, unordered, 0m0.008s, 20000
../data-set/20000-numbers-3-ordered-ascending.txt, ascending, 0m0.005s, 20000
../data-set/20000-numbers-3-ordered-descending.txt, descending, 0m0.006s, 20000
../data-set/20000-numbers-3-unordered.txt, unordered, 0m0.008s, 20000
../data-set/20000-numbers-4-ordered-ascending.txt, ascending, 0m0.005s, 20000
../data-set/20000-numbers-4-ordered-descending.txt, descending, 0m0.005s, 20000
../data-set/20000-numbers-4-unordered.txt, unordered, 0m0.006s, 20000
../data-set/20000-numbers-5-ordered-ascending.txt, ascending, 0m0.007s, 20000
../data-set/20000-numbers-5-ordered-descending.txt, descending, 0m0.006s, 20000
../data-set/20000-numbers-5-unordered.txt, unordered, 0m0.007s, 20000
../data-set/20000-numbers-6-ordered-ascending.txt, ascending, 0m0.006s, 20000
../data-set/20000-numbers-6-ordered-descending.txt, descending, 0m0.005s, 20000
../data-set/20000-numbers-6-unordered.txt, unordered, 0m0.008s, 20000
../data-set/20000-numbers-7-ordered-ascending.txt, ascending, 0m0.004s, 20000
../data-set/20000-numbers-7-ordered-descending.txt, descending, 0m0.008s, 20000
../data-set/20000-numbers-7-unordered.txt, unordered, 0m0.006s, 20000
../data-set/20000-numbers-8-ordered-ascending.txt, ascending, 0m0.004s, 20000
../data-set/20000-numbers-8-ordered-descending.txt, descending, 0m0.004s, 20000
../data-set/20000-numbers-8-unordered.txt, unordered, 0m0.007s, 20000
../data-set/20000-numbers-9-ordered-ascending.txt, ascending, 0m0.005s, 20000
../data-set/20000-numbers-9-ordered-descending.txt, descending, 0m0.007s, 20000
../data-set/20000-numbers-9-unordered.txt, unordered, 0m0.005s, 20000
../data-set/30000-numbers-0-ordered-ascending.txt, ascending, 0m0.005s, 30000
../data-set/30000-numbers-0-ordered-descending.txt, descending, 0m0.007s, 30000
../data-set/30000-numbers-0-unordered.txt, unordered, 0m0.005s, 30000
../data-set/30000-numbers-1-ordered-ascending.txt, ascending, 0m0.006s, 30000
../data-set/30000-numbers-1-ordered-descending.txt, descending, 0m0.008s, 30000
../data-set/30000-numbers-1-unordered.txt, unordered, 0m0.008s, 30000
../data-set/30000-numbers-10-ordered-ascending.txt, ascending, 0m0.005s, 30000
../data-set/30000-numbers-10-ordered-descending.txt, descending, 0m0.006s, 30000
../data-set/30000-numbers-10-unordered.txt, unordered, 0m0.007s, 30000
../data-set/30000-numbers-11-ordered-ascending.txt, ascending, 0m0.006s, 30000
